Order ID,Collection,Specimen,Corrected specimen name,Image type,Imaging type,Filename,ROI ,Notes,Box URL,Filepath,Location,Upload to DCC
150,HT166P1,S1H6L1 S1H6L4,"HT166P1-S1H6L1,S1H6L4",TIFF,IMC,HTAN_HT166P1_S1H6_L1_L4_ROI_001.ome.tiff,1,,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT166P1_S1H6_L1_L4_ROI_001.ome.tiff,Storage1,TRUE
151,HT166P1,S1H6L1 S1H6L4,"HT166P1-S1H6L1,S1H6L4",TIFF,IMC,HTAN_HT166P1_S1H6_L1_L4_ROI_002.ome.tiff,2,,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT166P1_S1H6_L1_L4_ROI_002.ome.tiff,Storage1,TRUE
155,HT168P1,S1H2L1 S1H2L4,"HT168P1-S1H2L1,S1H2L4",TIFF,IMC,HTAN_HT168P1_S1H2_L1_L4_ROI_001.ome.tiff,1,done first,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT168P1_S1H2_L1_L4_ROI_001.ome.tiff,Storage1,TRUE
156,HT168P1,S1H2L1 S1H2L4,"HT168P1-S1H2L1,S1H2L4",TIFF,IMC,HTAN_HT168P1_S1H2_L1_L4_ROI_002.ome.tiff,2,done first,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT168P1_S1H2_L1_L4_ROI_002.ome.tiff,Storage1,TRUE
157,HT168P1,S1H4L1 S1H4L4,"HT168P1-S1H4L1,S1H4L4",TIFF,IMC,HTAN_HT168P1_S1H4_L1_L4_ROI_001.ome.tiff,1,done first,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT168P1_S1H4_L1_L4_ROI_001.ome.tiff,Storage1,TRUE
158,HT168P1,S1H4L1 S1H4L4,"HT168P1-S1H4L1,S1H4L4",TIFF,IMC,HTAN_HT168P1_S1H4_L1_L4_ROI_002.ome.tiff,2,done first,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT168P1_S1H4_L1_L4_ROI_002.ome.tiff,Storage1,TRUE
159,HT168P1,S1H4L1 S1H4L4,"HT168P1-S1H4L1,S1H4L4",TIFF,IMC,HTAN_HT168P1_S1H4_L1_L4_ROI_003.ome.tiff,3,done first,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HTAN_HT168P1_S1H4_L1_L4_ROI_003.ome.tiff,Storage1,TRUE
160,HT168P1,S1H2L1 S1H2L4,,TIFF,,HT168P1_S1H2_ROI_L1.ome.tiff,1,done second,,,Storage1,FALSE
161,HT168P1,S1H2L1 S1H2L4,,TIFF,,HT168P1_S1H2_ROI_L4.ome.tiff,2,done second,,,Storage1,FALSE
162,HT168P1,S1H3L1 S1H3L4,,TIFF,,HT168P1_S1H3_091420_ROI_L1_full.ome.tiff,?,done second,,,Storage1,FALSE
163,HT168P1,S1H3L1 S1H3L4,,TIFF,,HT168P1_S1H3_091420_ROI_L1.ome.tiff,?,done second,,,Storage1,FALSE
164,HT168P1,S1H3L1 S1H3L4,,TIFF,,HT168P1_S1H3_091420_ROI_L4.ome.tiff,3,done second,,,Storage1,FALSE
165,HT168P1,S1H3L1 S1H3L4,,TIFF,,HT168P1_S1H3_L1_L4_ROI_001.ome.tiff,1,done second,,,Storage1,FALSE
166,HT168P1,S1H3L1 S1H3L4,,TIFF,,HT168P1_S1H3_L1_L4_ROI_002.ome.tiff,2,done second,,,Storage1,FALSE
167,HT168P1,S1H3L1 S1H3L4,,TIFF,,HT168P1_S1H3_L1_L4_ROI_003.ome.tiff,3,done second,,,Storage1,FALSE
168,HT168P1,S1H4L1 S1H4L4,,TIFF,,HT168P1_S1H4_091420_ROI_001.ome.tiff,1,done second,,,Storage1,FALSE
169,HT168P1,S1H4L1 S1H4L4,,TIFF,,HT168P1_S1H4_091420_ROI_002.ome.tiff,2,done second,,,Storage1,FALSE
160,HT168P1,S1H3L1 S1H3L4,"HT168P1-S1H3L1,S1H3L4",TIFF,IMC,HT168P1_S1H3_L1_L4_ROI_001.ome.tiff,1,added 2/23/2021,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HT168P1_S1H3_L1_L4_ROI_001.ome.tiff,Storage1,TRUE
161,HT168P1,S1H3L1 S1H3L4,"HT168P1-S1H3L1,S1H3L4",TIFF,IMC,HT168P1_S1H3_L1_L4_ROI_002.ome.tiff,2,added 2/23/2021,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HT168P1_S1H3_L1_L4_ROI_002.ome.tiff,Storage1,TRUE
162,HT168P1,S1H3L1 S1H3L4,"HT168P1-S1H3L1,S1H3L4",TIFF,IMC,HT168P1_S1H3_L1_L4_ROI_003.ome.tiff,3,added 2/23/2021,,/storage1/fs1/dinglab/Active/Primary/HTAN.Imaging/hyperion/02192021/b2_06252020/ome-tiff_htan/HT168P1_S1H3_L1_L4_ROI_003.ome.tiff,Storage1,TRUE
